id	command	vanilla_exit	vanilla_observed	crystalline_exit	crystalline_observed	verdict	evidence
svg	python3 lab/parity/matrix/runner.py --case P1138-X-001	0	semantic SVG tree	0	different semantic SVG tree	PARTIAL	/tmp/p1213-svg.json
png	python3 lab/parity/matrix/runner.py --case P1138-X-002	0	1191x1684	0	1191x1684; 11 pixels differ; max delta 1	PARTIAL	/tmp/p1213-png.json
pdf	python3 lab/parity/matrix/runner.py --case P1138-X-003	0	1 page; matching box/text; LibertinusSerif-Regular-Identity-H	0	1 page; matching box/text; LibertinusSerif-Regular	PARTIAL	/tmp/p1213-pdf.json
html-manifest	python3 lab/parity/matrix/runner.py --case P1138-X-004	0	HTML emitted	1	feature required	HARNESS-GAP	/tmp/p1213-html-harness.json
html-symmetric	compile plain.typ --format html --features html	0	sha256 c8049e71950f48ba1b3cbcdd0dd6ca75a6357a762dd6a3056670f75a73b35f92	0	sha256 c8049e71950f48ba1b3cbcdd0dd6ca75a6357a762dd6a3056670f75a73b35f92	COVERED-FOCAL	/tmp/p1213-vanilla.html | /tmp/p1213-crystalline.html
eval-language	eval 'eval("1 + 2")' --format json	0	3	0	3	COVERED	terminal P1213
bytes-len	eval 'bytes((1,2,3)).len()' --format json	0	3	1	type bytes has no method len	MISSING	terminal P1213
bytes-at	eval 'bytes((1,2,3)).at(1)' --format json	0	2	1	type bytes has no method at	MISSING	terminal P1213
bytes-slice	eval 'repr(bytes((1,2,3)).slice(1))' --format raw	0	bytes(2)	1	type bytes has no method slice	MISSING	terminal P1213
yaml	eval '(a: 1)' --format yaml	0	a: 1	2	invalid value yaml	PRODUCT-GAP	terminal P1213
pdf-attach	eval 'repr(pdf.attach("x.bin", bytes((1,2))))' --format raw	0	attach(path: x.bin data: bytes(2))	1	explicit exporter scope-out	PRODUCT-GAP	terminal P1213
smartquote-alternative	eval 'repr(smartquote(alternative: true))' --format raw	0	smartquote(alternative: true)	1	explicit scope-out	MISSING	terminal P1213
smartquote-quotes	eval 'repr(smartquote(quotes: "()"))' --format raw	0	custom double quote tuple	1	explicit scope-out	MISSING	terminal P1213
rotate-origin	eval 'repr(rotate(30deg, origin: center, [x]))' --format raw	0	origin preserved	0	generic transform repr without origin	PARTIAL	terminal P1213
line-start	eval 'repr(line(start: (10pt,0pt), end: (50pt,50pt)))' --format raw	0	line value	1	nonzero start scope-out	MISSING	terminal P1213
color-mix-3	eval 'repr(color.mix(red, green, blue))' --format raw	0	oklab(65.38% -0.01 0.022)	1	requires exactly 2 args	MISSING	terminal P1213
color-components	eval 'repr(rgb("ff0000").components())' --format raw	0	(100% 0% 0% 100%)	0	(100% 0% 0% 100%)	COVERED	terminal P1213
color-space	eval 'repr(rgb("ff0000").space())' --format raw	0	rgb	0	rgb	COVERED	terminal P1213
color-rotate	eval 'repr(rgb("ff0000").rotate(30deg))' --format raw	0	rgb(#ef4600)	0	rgb(#ef4600)	COVERED	terminal P1213
color-saturate	eval 'repr(rgb("ff0000").saturate(20%))' --format raw	0	rgb(#ff0000)	0	rgb(#ff0000)	COVERED	terminal P1213
extra-bindings	eval repr(type(NAME)) for 10 frozen names	1	all unknown or missing module member	0	all function	CRYSTALLINE-EXTENSION	terminal P1213

