authority	artifact	verdict
A	p1222-tekt-manifesto.tsv	baseline frozen
B	svg_morphology.py + contract	analytic vocabulary implemented
C	p1222-svg-analytic-ataques.tsv	20/20 valid attacks rejected or explicit Unknown; mutation_score=1.0
D	p1222-svg-analytic-diff.tsv	first real gap rounded stroke radius
E	export/svg L0 + implementation	RED then GREEN
F	p1222-svg-upstream-issues.tsv	four current issues triaged
G	extension decision	NO EXTENSION SELECTED
H	p1222-svg-analytic-resultados.tsv	6/6 Preserved twice
I	DSM + queue	all 9 map correspondences applied; svg remains PARTIAL
workspace-gate	cargo test --workspace	functional suites pass except pre-existing p1137 watch timing test failed twice at 20s under full suite; isolated retry passed
isolation	all	EXECUTADO SEM ATESTAÇÃO DE ISOLAMENTO
