case	observable	population	preserved	violated	unknown	source	classification	counts_as_success	mutation_numerator	effect	resolution_required
valid-fixture-missing-source	frozen source identity	96 valid fixtures	exact frozen source and identity recovered	fixture silently substituted or candidate-guided source used	source missing or identity ambiguous	p1267r2-author-unknown-v2.tsv;G01	Unknown	false	excluded	blocks affected pair and invalidates population completeness	recover exact frozen source and identity
svg-server-missing-or-ambiguous	server graph ownership and URL target	96 valid fixtures	resolved graph owner and local target	missing/dangling/wrong target treated as equivalent	graph owner or URL target ambiguous	p1267r2-author-unknown-v2.tsv;G03	Unknown	false	excluded	blocks affected pair;never substitutes fallback equivalence	resolve graph ownership and URL target
oracle-unavailable	independent language oracle	all applicable v3 observables	oracle available and frozen before candidate comparison	candidate output used as oracle or missing oracle converted to pass	oracle unavailable	p1268 intent manifest unknown_policy	Unknown	false	excluded	blocks affected pair and requires rerun	restore independent language oracle
budget-missing-or-drifted	frozen per-fixture envelope	all G05 fixtures	budget present,hash-matched and vanilla-first	candidate-derived or drifted budget used	budget absent or identity unresolved	p1268 step:authorities/gates	Unknown	false	excluded	invalidates future seal from budget-author phase	restore and hash frozen per-fixture budgets
raster-mask-ambiguous	independently derived painted-support mask	G06,G07A,G07B fixtures	mask ownership and geometry established independently	crop/fitting/candidate error used to define mask	mask derivation ambiguous	p1267r2-author-unknown-v2.tsv;G06-G07	Unknown	false	excluded	blocks affected pair for raster-dependent fixture	derive mask from graph and geometry independently
mesh-budget-exhausted	published mesh resource bound	G05 fixtures	mesh completes within published bound	partial mesh treated as envelope pass	mesh resource bound exhausted	p1267r2-author-unknown-v2.tsv;G05	Unknown	false	excluded	blocks affected pair;cannot be converted to pass	rerun within published resource bound or narrow scope explicitly
original-adaptive-provenance-ambiguous	G04A/G04B stop origin and interval ownership	all stops in 96 fixtures	origin label and owning G04A interval published	literal offset/count used to infer origin	provenance cannot separate G04A from adaptive stop	G04A;G04B;adaptive.md:53-76	Unknown	false	excluded	blocks G04A and G04B	publish origin/adaptive labels and interval ownership
coincident-exact-right-hand-ambiguous	exact-point structural adjudication versus epsilon-right/right-hand behavior	S07-S09 and every coincident effective sequence	separate probes establish exact-point rule and epsilon-right branch under original order	blanket right-continuity or one probe is used as evidence for both	either exact point or right-hand behavior cannot be independently adjudicated	ratified gradient.rs:1461-1484;adaptive.md:73-76;V05	Unknown	false	excluded	blocks G04A/G04B for affected fixture	publish exact-t and epsilon-right witnesses with ordered coincident provenance
adaptive-carrier-different-envelope-preserved	mechanical carrier freedom	adaptive stops whose v3 language envelope passes	carrier difference remains mechanics-only and is not counted as success	carrier identity alone used to fail or pass	language envelope or provenance unavailable	p1267r2-author-contract-v2.tsv:G04B;G04B	Mechanics-only	false	not-a-mutant	f32/f64 identity,count or textual offset alone neither passes nor fails	judge G04A exact behavior plus G04B/G05 right-hand envelope
interval-cost-unattributed	per-G04A-interval work attribution	all R positive-width eligible intervals	publish M,R and for each eligible interval subdivisions,a_i,d_i<=127,b_i<=126,q_i=d_i+b_i<=253;publish E and deterministic termination	total-only count,127 mislabeled as total sampler work,logical_stops used as M or any published bound exceeded	instrumentation cannot attribute M,R,a_i,d_i,b_i,q_i and E to the G04A intervals	ratified gradient.rs:905-965;adaptive.rs:115-164;V07-V08	Unknown	false	excluded	blocks G10 even when total emitted count is known	publish the complete interval-local trace and sequence identity
