case	observable	population	trigger	expected_classification	counts_as_success	mutation_numerator	effect	resolution_required	oracle_expectation	status
valid-fixture-missing-source	frozen source identity	96 valid fixtures	source missing or identity ambiguous	Unknown	false	excluded	blocks affected pair and invalidates population completeness	recover exact frozen source and identity	Unknown	FrozenOpaqueCase
svg-server-missing-or-ambiguous	server graph ownership and URL target	96 valid fixtures	graph owner or URL target ambiguous	Unknown	false	excluded	blocks affected pair;never substitutes fallback equivalence	resolve graph ownership and URL target	Unknown	FrozenOpaqueCase
oracle-unavailable	independent language oracle	all applicable v3 observables	oracle unavailable	Unknown	false	excluded	blocks affected pair and requires rerun	restore independent language oracle	Unknown	FrozenOpaqueCase
budget-missing-or-drifted	frozen per-fixture envelope	all G05 fixtures	budget absent or identity unresolved	Unknown	false	excluded	invalidates future seal from budget-author phase	restore and hash frozen per-fixture budgets	Unknown	FrozenOpaqueCase
raster-mask-ambiguous	independently derived painted-support mask	G06,G07A,G07B fixtures	mask derivation ambiguous	Unknown	false	excluded	blocks affected pair for raster-dependent fixture	derive mask from graph and geometry independently	Unknown	FrozenOpaqueCase
mesh-budget-exhausted	published mesh resource bound	G05 fixtures	mesh resource bound exhausted	Unknown	false	excluded	blocks affected pair;cannot be converted to pass	rerun within published resource bound or narrow scope explicitly	Unknown	FrozenOpaqueCase
original-adaptive-provenance-ambiguous	G04A/G04B stop origin and interval ownership	all stops in 96 fixtures	provenance cannot separate G04A from adaptive stop	Unknown	false	excluded	blocks G04A and G04B	publish origin/adaptive labels and interval ownership	Unknown	FrozenOpaqueCase
coincident-exact-right-hand-ambiguous	exact-point structural adjudication versus epsilon-right/right-hand behavior	S07-S09 and every coincident effective sequence	either exact point or right-hand behavior cannot be independently adjudicated	Unknown	false	excluded	blocks G04A/G04B for affected fixture	publish exact-t and epsilon-right witnesses with ordered coincident provenance	Unknown	FrozenOpaqueCase
adaptive-carrier-different-envelope-preserved	mechanical carrier freedom	adaptive stops whose v3 language envelope passes	language envelope or provenance unavailable	Mechanics-only	false	not-a-mutant	f32/f64 identity,count or textual offset alone neither passes nor fails	judge G04A exact behavior plus G04B/G05 right-hand envelope	Mechanics-only	FrozenOpaqueCase
interval-cost-unattributed	per-G04A-interval work attribution	all R positive-width eligible intervals	instrumentation cannot attribute M,R,a_i,d_i,b_i,q_i and E to the G04A intervals	Unknown	false	excluded	blocks G10 even when total emitted count is known	publish the complete interval-local trace and sequence identity	Unknown	FrozenOpaqueCase
global-stop-count-over-64	global emitted count	96 valid fixtures	M/R or interval traces unavailable	Not-a-violation	false	not-a-mutant	global bound depends on M and R	apply E<=M+63R plus every interval-local bound	Unknown	FrozenOpaqueCase
s20-painted-support-ambiguous	S20 stroke-support morphology	S20 x 4 pairs	stroke support or local mask ambiguous	Unknown	false	excluded	blocks S20	compare independently derived stroke-support morphology and graph	Unknown	FrozenOpaqueCase
s21-zero-fill-support-ambiguous	S21 zero-fill support	S21 x 4 pairs	zero fill support or graph ownership ambiguous	Unknown	false	excluded	blocks S21	prove no positive-area fill and closed/correct graph	Unknown	FrozenOpaqueCase
unsupported-control-space	fallback policy outside promotion denominator	unsupported control spaces	control-space semantics unavailable	Unknown-control	false	excluded	proves fallback policy only;outside four promotion denominators	keep explicit fallback marker	Unknown	FrozenOpaqueCase
invalid-public-input	domain rejection semantics	applicable I01-I08	diagnostic identity ambiguous only when parser result cannot be matched	Rejected-by-domain	false	not-a-mutant	must be rejected;never classified Preserved	compare rejection semantics	Rejected-by-domain	FrozenOpaqueCase
valid-positive	all applicable v3 obligations	valid P1268 positive case	any required observable opaque	Preserved	true	n/a	eligible only after independent gate and seal	retain full witness set	Preserved	FrozenOpaqueCase
valid-negative	one or more v3 obligations	valid semantic negative case	witness cannot be adjudicated	Violated	false	n/a	must remain a failure witness	retain witness	Violated	FrozenOpaqueCase
executed-negative-mutant	mutation rejection	all executable valid mutants	mutant result opaque	REJECTED	false	included	counts only when executable,valid and demonstrably killed	retain deterministic witness	REJECTED	FrozenOpaqueCase
non-executable-proposal	mutation executability	proposed attacks	proposal cannot execute	NOT-COUNTED	false	excluded	cannot contribute to mutation score	make executable or exclude with reason	Unknown	FrozenOpaqueCase
historical-p1266-result	immutable P1266 identity	all P1266 rows and certificate	protected identity mismatch	Immutable-history	false	excluded	logical=904,effective M=1320,E=11188,bound=78432 and zero derived failures remain measurements,not success	produce new P1268 results under sealed v3 identities	Immutable-history	FrozenOpaqueCase
v3-pre-oracle-pair	current phase status	four pair candidates	pair remains Unknown-generalization pending independent evidence	Unknown-generalization	false	excluded	contract is unsealed and no pair may pass in this phase	independent oracle,attacks,score 1.0,repetition and verifier seal	Unknown	FrozenOpaqueCase
