id	scope	class	observable	preserved	unknown_or_rejected	owner
C01	public construction	language-semantics	body acceptance	arbitrary Content is retained as the tile body without reduction to Color/Image/path whitelist	opaque conversion is Unknown; type-invalid input is rejected	stdlib/tiling
C02	public value	language-semantics	declarative identity	tiling(t) preserves t when no incompatible override is supplied	mechanical Arc identity is excluded	entities/tiling
C03	size auto	language-morphology	resolved cell extent	layout derives size from laid-out body morphology exactly once	missing layout witness is Unknown; invented unit or painted bbox is rejected	layout owner pending
C04	explicit size and spacing	language-morphology	cell extent and pitch	pitch equals size plus spacing per axis; asymmetric axes remain distinct	flat body may make repetition visually Unknown but cannot become Preserved structurally alone	layout owner pending
C05	offset	language-morphology	grid displacement	finite absolute/relative offset resolves against pitch and shifts grid without changing cell extent	font-relative or nonfinite input is rejected; absent phase landmark is Unknown	stdlib plus layout
C06	angle	language-morphology	grid rotation	finite angle rotates tile and grid about offset coordinates	nonfinite is rejected; matrix spelling is excluded	stdlib plus layout
C07	offset plus angle	language-morphology	transform order	effective placement applies offset before clockwise angle as observed at landmarks	commuting/symmetric fixture is Unknown and cannot prove order	layout owner pending
C08	relative auto	language-semantics	contextual basis	auto resolves self for shapes and parent for text	resolving during eval or always-self is rejected	entities plus layout
C09	relative explicit	language-semantics	self versus parent anchoring	explicit values remain distinguishable across translated siblings	uniform content without phase landmark is Unknown	layout owner pending
C10	phase separation	architecture	private resolved representation	body layout occurs once in layout; public Tiling remains unresolved; exporters do not relayout body	public ResolvedTiling or exporter-side layout is rejected	layout and exporters
C11	fill and stroke	language-morphology	paint role	Content tiling used as fill is adjudicated independently per target and may be Preserved only where that target demonstrates the repeated fill morphology	stroke tiling is exact scoped Unknown in this fragment even when fill passes; no target or paint role promotes another and fallback annotation remains Unknown	exporters
C12	target independence	language-semantics	target-specific consumption	SVG PDF and HTML consume normal pipeline output and preserve semantics or declare exact Unknown	early rasterization cannot establish general preservation	exporters
C13	fallback	contract-policy	no false promotion	color/black/first-stop fallback remains explicit Unknown	visual resemblance or compilation success is never Preserved	entities and exporters
C14	determinism	contract-policy	repeat and reorder	fixture order and repeated runs yield identical classifications	nondeterminism rejects seal	verifier
C15	ownership	architecture	ADR0129 lineage	each productive consumer has one proprietary L0; shared claims use pinned nuclei only when genuinely common	orphan prompt shared owner or code-to-nucleus blocks implementation	all
