field	value
step	P1245
verdict	L0_HASHES_CONFIRMED_AWAITING_SEGREGATED_PRESEAL
baseline_head	697eaf31e8ce6aaa4eef7d61d7808e377005c3c5
measured_at	2026-08-28T07:27:21-03:00
working_tree	uncommitted; 59 tracked files changed; 2247 insertions; 188 deletions
ratified_vanilla	a51e02804
productive_consumers	17
excluded_textual_matches	3
options_compared	4
proposed_option	declarative Content tiling plus private materialization in existing layout phase; no public ResolvedTiling
runner_sha256	ea7b2098a29800ef2ce345ae9c3820e323e5343c19c2352941093f4bee32e30c
report_sha256	2610eb5c7452b1b5d39b5825ed3f5fc8a5db4b89761fdbe42d1e49ffa5970468
owner_confirmation_sha256	0a62227ee728bf85adf9d18ca30430af50155f188f4e927e31ddae7968b901be
entities_tiling_l0_sha256	fef0967145b237b4b5e8df7999e4c5664fa9ea2d468c4263a767772232642696
stdlib_tiling_l0_sha256	080487e1bc80b7a27c67c650c9d6c55f25669835c3ff9de0aea7380fe43df690
p1243_state	PRESEAL_INVALIDATED_NEGATIVE_BOUNDARY_RETAINED
p1244_state	CLOSED_NO_CODE_NEGATIVE_BOUNDARY_RETAINED_WITH_EXTERNAL_V5
productive_change	false
l0_change	true; two proprietary L0 prompts confirmed before code
hash_reseal	false
focused_v15_v26	PASS; zero violations
focused_v5	EXPECTED_PRE_IMPLEMENTATION_DRIFT; visualize.rs and entities/tiling.rs
adr0127_gate	PASS; owner confirmed both exact hashes
next_action	segregated preseal; no code or reseal before valid seal
