case	kind	expected	witness	fixture	carrier	executable_criterion
png-alpha-mime	raster	Preserved	four decoded landmarks include opaque red, half-alpha green, transparent blue and opaque white; resource kind is PNG	RGBA2x2=[(255,0,0,255),(0,255,0,128);(0,0,255,0),(255,255,255,255)]; encode losslessly as PNG	pos=(7,11); box=(2,2); format=PNG; orientation=1; clip=none	Parse output XML; require exactly one image resource at x=7,y=11,width=2,height=2; decode its data URL only after asserting media type image/png; decode PNG to RGBA; require the four samples equal fixture RGBA in row-major order
jpeg-exif-6-asymmetric	raster	Preserved	orientation 6 is applied exactly once: red top-left, green top-right and blue bottom-left source landmarks become a 2x3 clockwise-oriented result with mutually distinct corners; resource kind is JPEG	RGB3x2 rows=[red,green,white;blue,black,yellow], encoded JPEG with EXIF Orientation=6; compare each decoded landmark by nearest palette color with per-channel tolerance 24	pos=(13,17); resolved-box=(2,3); format=JPEG; orientation=6; clip=none	Parse output XML and render only the image box to RGBA; assert MIME image/jpeg and box x=13,y=17,width=2,height=3; nearest-palette labels at output rows must be [blue,red;black,green;yellow,white]; reject the source ordering and the twice-rotated ordering
gif-alpha-mime	raster	Preserved	first frame retains opaque magenta and fully transparent cyan landmarks; resource kind is GIF	GIF89a logical-screen=2x1; frame0 indices=[0,1]; palette[0]=#ff00ff,palette[1]=#00ffff; graphic-control transparent-index=1; no later frames	pos=(19,23); box=(2,1); format=GIF; orientation=1; clip=none	Assert exactly one image resource and MIME image/gif; decode frame 0 to RGBA; require samples [(255,0,255,255),(0,255,255,0)] and x=19,y=23,width=2,height=1
webp-alpha-mime	raster	Preserved	lossless WebP retains opaque orange and quarter-alpha violet landmarks; resource kind is WebP	RGBA2x1=[(255,128,0,255),(128,0,255,64)]; encode as lossless WebP	pos=(29,31); box=(2,1); format=WebP; orientation=1; clip=none	Assert exactly one image resource and MIME image/webp; losslessly decode payload to RGBA; require [(255,128,0,255),(128,0,255,64)] and x=29,y=31,width=2,height=1
resolved-stretch-box	raster	Preserved	layout-resolved non-intrinsic 6x2 box is used without intrinsic-ratio recomputation	RGBA2x2=[red,green;blue,white], lossless PNG with intrinsic ratio 1:1	pos=(37,41); resolved-box=(6,2); fit=stretch; format=PNG; orientation=1; clip=none	Parse image geometry and render its page-space bounds; require bounds [37,41]-[43,43] and all four colored quadrants present; reject a 2x2, 2x6 or 6x6 intrinsic-ratio result; do not compare preserveAspectRatio spelling
cover-clip-local	raster	Preserved	only intersection with page-space clip is visible: green center remains and red/blue side landmarks are absent	RGBA3x1=[red,green,blue], lossless PNG	pos=(43,47); resolved-box=(9,3); fit=cover-already-resolved; clip_rect=(46,47,3,3); orientation=1	Render page rectangle [43,47]-[52,50] over transparent background; require center sample (47.5,48.5)=opaque green and side samples (44.5,48.5),(50.5,48.5) alpha=0; require clip bounds [46,47]-[49,50], proving neither position nor clip was applied twice
nested-svg-red-blue-alpha	svg	Preserved	red left landmark, blue right landmark and purple half-alpha overlap are visible inside one nested image resource	<?xml version="1.0"?><!--lead--><svg xmlns="http://www.w3.org/2000/svg" width="4" height="2" viewBox="0 0 4 2"><rect x="0" y="0" width="3" height="2" fill="#ff0000"/><rect x="1" y="0" width="3" height="2" fill="#0000ff" fill-opacity="0.5"/></svg>	pos=(53,59); box=(4,2); format=Unknown-carrier; self-contained=true; clip=none	Assert exactly one image resource with MIME image/svg+xml; decode payload as XML and render at 4x2; require left sample approximately rgba(255,0,0,255), overlap approximately rgba(127,0,128,255), and right sample approximately rgba(0,0,255,128) over transparent background with channel tolerance 2; require no landmark outside [53,59]-[57,61]
unknown-marker-no-image	unknown	Unknown	diagnostic fallback is present, while no image resource or invented MIME exists	bytes-hex=00ff3c737667206e6f742d612d726f6f743e; first significant byte is non-XML binary	pos=(61,67); box=(5,7); format=Unknown	Parse output XML; require exactly one element with data-crystalline-image-fallback="unknown-format" for this carrier; require zero image resources attributable to it and no data:image/* URL; return Unknown explicitly, never Preserved
opaque-svg-external-dependency	svg	Unknown	opaque external dependency prevents a visible-content claim even if an SVG MIME or payload is emitted	<svg xmlns="http://www.w3.org/2000/svg" width="2" height="2"><image href="https://invalid.example/pixel.png" width="2" height="2"/></svg>	pos=(71,73); box=(2,2); format=Unknown-carrier; network=forbidden	Do not fetch; classify Unknown before pixel comparison because the self-contained precondition fails; failure, blank render, MIME presence or payload presence must not be converted to Preserved
opaque-svg-ambiguous-root	svg	Unknown	conservative root identification cannot decide an SVG image from a non-SVG first significant element	<?xml version="1.0"?><metadata/><svg xmlns="http://www.w3.org/2000/svg" width="1" height="1"><rect width="1" height="1" fill="red"/></svg>	pos=(79,83); box=(1,1); format=Unknown-carrier	Inspect the first significant XML element; because it is metadata rather than svg, classify Unknown and withhold every pixel/MIME preservation claim; if fallback is emitted it must satisfy unknown-marker-no-image
opaque-svg-compressed	svg	Unknown	compressed SVG is outside the conservative local identification contract	bytes-hex=1f8b0800000000000003; declared-filename=x.svgz	pos=(89,97); box=(1,1); format=Unknown-carrier	Recognize gzip signature without decompressing or inferring MIME; classify Unknown; require no Preserved verdict from extension, declaration or payload presence
determinism-repeat	meta	Preserved	canonical observations and verdicts are byte-identical across two executions on identical ordered inputs	ordered-cases=[png-alpha-mime,jpeg-exif-6-asymmetric,gif-alpha-mime,webp-alpha-mime,resolved-stretch-box,cover-clip-local,nested-svg-red-blue-alpha,unknown-marker-no-image,opaque-svg-external-dependency,opaque-svg-ambiguous-root,opaque-svg-compressed]	runs=2; same frozen inputs; fresh process/cache each run	For every named case serialize canonical tuple (case,verdict,sorted resource MIME multiset,quantized page-space bounds,ordered landmark RGBA or fallback marker); SHA-256 the UTF-8 serialization; require run1 hash == run2 hash and require Unknown remain Unknown
determinism-reorder	meta	Preserved	case execution order does not change any per-case canonical observation or verdict	order-A=ordered-cases from determinism-repeat; order-B=exact reverse(order-A)	fresh process/cache for each order	Execute both orders; key canonical tuples by case; sort keys lexicographically and serialize identically; require SHA-256(map-A) == SHA-256(map-B); any missing, extra or order-dependent tuple is Violated and any opaque case promoted from Unknown fails the oracle
