field	value
role	VERIFIER-V3 independent adjudicator
regime	Tekt full protocol; verifier phase
measured_at	2026-08-28T23:37:17-03:00
head_at_intent_freeze	697eaf31e8ce6aaa4eef7d61d7808e377005c3c5
head_verified	7df0e3174d0d651189c9281c81c4508e3c691478
head_drift_verdict	ACCEPTED-AS-PROVENANCE-ONLY; all content-addressed protected inputs unchanged
git_status_sha256_current	0cb2778776306a4ba77b1c243b69e3b4397ff419e0384c6bc95b6d1b97275294
git_status_current	?? 00_nucleo/diagnosticos/p1268-attempt1-no-preseal.tsv;?? 00_nucleo/diagnosticos/p1268-attempt2-invalid.tsv;?? 00_nucleo/diagnosticos/p1268-head-drift.tsv;?? 00_nucleo/diagnosticos/p1268-oracle-attempt1-invalid.tsv;?? 00_nucleo/diagnosticos/p1268-preoracle-manifest-v2.tsv;?? 00_nucleo/diagnosticos/p1268-preoracle-manifest-v3.tsv;?? 00_nucleo/diagnosticos/p1268-role-capabilities-v2.tsv;?? 00_nucleo/diagnosticos/p1268-role-capabilities-v3.tsv;?? 00_nucleo/diagnosticos/p1268-suite-freeze-v3.tsv;?? 00_nucleo/diagnosticos/p1268-suite-freeze.tsv;
git_diff_HEAD_stat_sha256	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
git_diff_HEAD_stat	empty
content_reads	755 paths; see content-reads.tsv
commands	18 normalized command records; see commands.tsv
population	96;24 per pair
positive_oracles	96 Available;0 necessary Unknown
M_R_E	1320;848;11188
intervals	1224 total;848 eligible;376 ineligible;maxima 64/31/63/62/125
mask_closure	96 rows;192 SVG-PNG files;all hashes exact
coincidence	180 groups;exact Unknown=0;epsilon Unknown=0;terminal N-A=4
degenerates	S20=4/4;S21=4/4
determinism	192/192 semantic equal;96/96 SVG triplets byte equal
attacks	24 valid negative killed;1 positive control preserved;10 opaque Unknown
mutation_score	1.0 (24/24)
negative_unknown	0
oracle_breach	false
verifier_breach	false
write_root	/tmp/p1268/verifier_v3 exactly
repository_writes	NONE
forbidden_content_read	false; excluded attempts candidate target/debug/typst future product and P1267-R1 product content were not inspected
r2_comparison_access	sha256-only protected identity check required by head-drift; no semantic inspection and no P1267-R1 artifact opened
filesystem_isolation_attested	false
attestation	segregacao processual; sem atestacao tecnica de isolamento de filesystem
verdict	PRESEAL-ELIGIBLE
final_seal	NOT ISSUED
