prompt_atual	consumer	consumer_count	layer	prompt_hash	consumer_hash	metadata_count	prompt_role	consumer_role	shared_claim_candidates	class	proposed_owner_prompt	proposed_nucleus	decision	evidence
00_nucleo/prompts/compiler/eval.md	01_core/src/compiler/eval/bibliography.rs	10	01_core	2dcd02da	fcd1d272	0	agregado de dispatcher e domínios de eval	**P419** — Loading de ficheiros `.bib`/`.yaml`/`.yml` para `BibliographyElem`.	engine, scopes, spans e propagação de FlowEvent	A	00_nucleo/prompts/compiler/eval/bibliography.md	-	individualize_owner	00_nucleo/prompts/compiler/eval.md:111;00_nucleo/prompts/compiler/eval.md:334;01_core/src/compiler/eval/bibliography.rs:1;01_core/src/compiler/eval/bibliography.rs:34
00_nucleo/prompts/compiler/eval.md	01_core/src/compiler/eval/control_flow.rs	10	01_core	2dcd02da	c841c155	0	agregado de dispatcher e domínios de eval	Controlo de fluxo: `if`/`else`, `while`, `for`. Extraído de `eval.rs` no	engine, scopes, spans e propagação de FlowEvent	A	00_nucleo/prompts/compiler/eval/control_flow.md	00_nucleo/prompts/_nuclei/eval-engine-context.toml	individualize_owner;audit_nucleus_candidate	00_nucleo/prompts/compiler/eval.md:111;00_nucleo/prompts/compiler/eval.md:334;01_core/src/compiler/eval/control_flow.rs:1;01_core/src/compiler/eval/control_flow.rs:20
00_nucleo/prompts/compiler/eval.md	01_core/src/compiler/eval/flow.rs	10	01_core	2dcd02da	09a57d6b	0	agregado de dispatcher e domínios de eval	Eventos de controlo de fluxo: `FlowEvent` e mensagens de erro fora de	engine, scopes, spans e propagação de FlowEvent	A	00_nucleo/prompts/compiler/eval/flow.md	00_nucleo/prompts/_nuclei/eval-engine-context.toml	individualize_owner;audit_nucleus_candidate	00_nucleo/prompts/compiler/eval.md:111;00_nucleo/prompts/compiler/eval.md:334;01_core/src/compiler/eval/flow.rs:1;01_core/src/compiler/eval/flow.rs:17
00_nucleo/prompts/compiler/eval.md	01_core/src/compiler/eval/markup.rs	10	01_core	2dcd02da	1ef04de3	0	agregado de dispatcher e domínios de eval	Armos de markup (`Strong`, `Emph`, `Heading`, `Raw`, `Link`, `ListItem`,	engine, scopes, spans e propagação de FlowEvent	A	00_nucleo/prompts/compiler/eval/markup.md	00_nucleo/prompts/_nuclei/eval-engine-context.toml	individualize_owner;audit_nucleus_candidate	00_nucleo/prompts/compiler/eval.md:111;00_nucleo/prompts/compiler/eval.md:334;01_core/src/compiler/eval/markup.rs:1;01_core/src/compiler/eval/markup.rs:30
00_nucleo/prompts/compiler/eval.md	01_core/src/compiler/eval/math.rs	10	01_core	2dcd02da	9ba5d036	0	agregado de dispatcher e domínios de eval	Avaliação de expressões matemáticas. Extraído de `eval.rs` no Passo 96.1	engine, scopes, spans e propagação de FlowEvent	A	00_nucleo/prompts/compiler/eval/math.md	00_nucleo/prompts/_nuclei/eval-engine-context.toml	individualize_owner;audit_nucleus_candidate	00_nucleo/prompts/compiler/eval.md:111;00_nucleo/prompts/compiler/eval.md:334;01_core/src/compiler/eval/math.rs:1;01_core/src/compiler/eval/math.rs:10
00_nucleo/prompts/compiler/eval.md	01_core/src/compiler/eval/mod.rs	10	01_core	2dcd02da	1c252708	0	agregado de dispatcher e domínios de eval	Dispatcher central do eval: `EvalContext` struct + impl, `pub fn eval`	engine, scopes, spans e propagação de FlowEvent	A	00_nucleo/prompts/compiler/eval.md	00_nucleo/prompts/_nuclei/eval-engine-context.toml	individualize_owner;audit_nucleus_candidate	00_nucleo/prompts/compiler/eval.md:111;00_nucleo/prompts/compiler/eval.md:334;01_core/src/compiler/eval/mod.rs:1;01_core/src/compiler/eval/mod.rs:54
00_nucleo/prompts/compiler/eval.md	01_core/src/compiler/eval/modules.rs	10	01_core	2dcd02da	23981ab0	0	agregado de dispatcher e domínios de eval	Armos `ModuleImport` e `ModuleInclude` do eval — detecção de ciclos e	engine, scopes, spans e propagação de FlowEvent	A	00_nucleo/prompts/compiler/eval/modules.md	00_nucleo/prompts/_nuclei/eval-engine-context.toml	individualize_owner;audit_nucleus_candidate	00_nucleo/prompts/compiler/eval.md:111;00_nucleo/prompts/compiler/eval.md:334;01_core/src/compiler/eval/modules.rs:1;01_core/src/compiler/eval/modules.rs:44
00_nucleo/prompts/compiler/eval.md	01_core/src/compiler/eval/rules.rs	10	01_core	2dcd02da	fb6b8f4c	0	agregado de dispatcher e domínios de eval	Show rules e set rules — aplicação e intercepção. Extraído de `eval.rs`	engine, scopes, spans e propagação de FlowEvent	A	00_nucleo/prompts/compiler/eval/rules.md	00_nucleo/prompts/_nuclei/eval-engine-context.toml	individualize_owner;audit_nucleus_candidate	00_nucleo/prompts/compiler/eval.md:111;00_nucleo/prompts/compiler/eval.md:334;01_core/src/compiler/eval/rules.rs:1;01_core/src/compiler/eval/rules.rs:39
00_nucleo/prompts/compiler/eval.md	01_core/src/compiler/eval/tests.rs	10	01_core	2dcd02da	5e10be01	0	agregado de dispatcher e domínios de eval	Testes unitários e helpers de teste de eval. Extraído de mod.rs no	engine, scopes, spans e propagação de FlowEvent	A	00_nucleo/prompts/compiler/eval/tests.md	00_nucleo/prompts/_nuclei/eval-engine-context.toml	individualize_owner;audit_nucleus_candidate	00_nucleo/prompts/compiler/eval.md:111;00_nucleo/prompts/compiler/eval.md:334;01_core/src/compiler/eval/tests.rs:1;01_core/src/compiler/eval/tests.rs:25
00_nucleo/prompts/compiler/eval.md	01_core/src/compiler/stdlib/foundations/path.rs	10	01_core	2dcd02da	6d935eb3	0	agregado de dispatcher e domínios de eval	owner de path.rs	engine, scopes, spans e propagação de FlowEvent	A	00_nucleo/prompts/compiler/stdlib/foundations/path.md	00_nucleo/prompts/_nuclei/eval-engine-context.toml	individualize_owner;audit_nucleus_candidate	00_nucleo/prompts/compiler/eval.md:111;00_nucleo/prompts/compiler/eval.md:334;01_core/src/compiler/stdlib/foundations/path.rs:1;01_core/src/compiler/stdlib/foundations/path.rs:15
