attack_id	axis	mutation_semantically_negative	abstract_fixture	witness_expected_by_frozen_contract	expected_contract_verdict	contract_ids	validity_and_refutation
A01	graph	Replace the locally resolved pattern reference on the painted role with a direct solid paint of the same RGBA.	Color body; explicit finite asymmetric size; zero spacing; relative=self; fill role.	The painted fill must traverse a non-dangling local reference to a pattern whose tile reaches the requested color; a matching direct solid fill has lost server morphology.	FAIL	C01,C19	Valid independent of IDs, defs order, href spelling, or bytes; refuted only if a resolved pattern graph still reaches the requested tile.
A02	graph	Emit a url reference whose target is absent, cyclic without a tile, or resolves to a non-pattern node.	Color body; explicit size; fill role.	Graph resolution must terminate at a local pattern containing the requested body color; dangling, sterile cyclic, or wrong-kind target is not a usable tiling graph.	Unknown	C01,C00	Opaque/unparsable resolution remains Unknown rather than PASS; if resolution proves the bad graph, FAIL under C01.
A03	pattern-units	Change the effective pattern coordinate system from user space to object bounding box while preserving apparent width/height text.	Color body; explicit size; relative=self; two boxes with different extents.	The effective grid remains in user-space coordinates; resizing the painted box must not rescale the declared absolute tile pitch.	FAIL	C02	Valid against equivalent encodings; refuted by rendered or derived user-space behavior, not attribute spelling alone.
A04	pitch	Advance repetitions by size only, ignoring positive spacing.	Boundary-bearing representable color fixture if available; size=(7,11), spacing=(3,5).	Horizontal period is 10 and vertical period is 16, with axes distinguishable.	FAIL	C03,C04	If color-only morphology cannot expose boundaries, visual witness is CONTRACT-GAP and structural periodicity remains Unknown, never PASS.
A05	pitch	Treat spacing as the full pitch instead of adding it to size.	Size=(7,11), spacing=(3,5), asymmetric axes.	Observed/derived periods are 10 and 16, not 3 and 5.	FAIL	C03	Refuted only by semantic periodicity size+spacing; equal-axis fixtures cannot discharge this attack.
A06	pitch	Swap horizontal and vertical size or spacing while producing a syntactically valid pattern.	Size=(7,11), spacing=(3,5).	The x period is 10 and y period is 16; the axes retain their identity.	FAIL	C03,C05	Valid mutation because all values remain finite and nonzero; exact XML numbers are evidence, not the obligation.
A07	viewBox	Set the effective viewport to the declared body size while the repeat cell is size+spacing, stretching the body across the gap.	Asymmetric size and positive asymmetric spacing; internal landmark only when representable.	Viewport mapping preserves the tile morphology and repeat cell without axis swap, unexpected clipping, or stretching.	FAIL	C05	With a uniform color and no internal landmark the result is Unknown; width/height attributes alone cannot refute the mutation.
A08	viewBox	Use a transposed or shifted viewport that clips an edge landmark or moves it to the opposite axis.	Explicit asymmetric size/spacing and a representable internal edge landmark.	Matched local landmarks occupy the same cell-relative positions and are neither clipped nor transposed.	FAIL	C05	If no landmark is representable, expected witness is Unknown rather than an inferred PASS.
A09	relative-self	Anchor relative=self patterns in one shared document origin for all painted elements.	Two representable painted boxes with different origins/extents; relative=self.	At matched local coordinates each usage has its own phase; translating one box cannot force shared global phase.	FAIL	C06	Uniform color makes phase Unknown; absent representable landmark yields CONTRACT-GAP.
A10	relative-parent	Reset a relative=parent pattern independently at each sibling origin.	Two sibling boxes under one parent; relative=parent; self-relative control.	At matched parent coordinates phase is continuous across siblings, while the self-relative control remains distinguishable when morphology permits.	FAIL	C07	If parent identity/geometry is absent from the public pipeline, CONTRACT-GAP; inconclusive probe is Unknown.
