observable_id	object	level	obligation	mechanics_excluded	evidence
O01	original/declarative stop offset	language-morphology	preserve semantic ratio after public construction/auto/sharp/repeat resolution	f32/f64 storage identity and SVG spelling when reparsed ratio is semantically equal	adaptive.md:63-76;svg.md:144-146
O02	original/declarative stop sequence	language-morphology	preserve order,coincident multiplicity,right-continuity and endpoints	hash-map order,internal vector type and XML ID spelling	svg.md:130-146
O03	original stop color and alpha	language-morphology	preserve color at stop and alpha separately	internal Color variant and byte-identical CSS serialization	svg.md:135-146
O04	adaptive stop position	mechanics-conditioned	must be confined to owning original interval and monotonic;literal position is not independently required if O01-O03 and O05 hold	carrier f32/f64,exact adaptive count,Ratio::repr spelling	p1267:33-39;adaptive.md:73-76
O05	adaptive curve support and color/alpha envelope	language-morphology	preserve right-continuity and frozen premultiplied encoded-sRGB/alpha envelope over the interval	particular bisection traversal or identical intermediate colors when envelope is equal	adaptive.md:53-76;ADR-0107
O06	adaptive work per eligible interval	mechanical safety observable	publish subdivisions<=64,adaptive interiors<=63 and midpoint decisions<=127;zero-width/ineligible intervals add none	exact work below bounds and global total<=64	vanilla gradient.rs:910-965;adaptive.rs:115-164
O07	total emitted stops	derived safety observable	publish M,R and E;require E=M+sum(a_i)<=M+63R<=64M-63 for M>=2	a fixed global cap independent of input size	derivation from O06 and one preserved original stop per sequence position
O08	termination	mechanical safety observable	each interval traversal finite:refinement depth<=6 and finite binary tree<=127 midpoint decisions;finite M yields finite E	wall-clock equality or identical iterator state sequence	vanilla gradient.rs:918-965;adaptive.rs:127-159
O09	S20 painted support	language-morphology	zero-width path with 8pt stroke preserves positive painted region,stroke morphology,closed graph and geometry	underlying box area used as proxy for painted support	typst-p1266-svg-generalization.md:43-46
O10	S21 painted support	language-morphology	zero-height fill has no positive-area paint while graph and geometry remain correct	mere absence of raster node without graph validation	typst-p1266-svg-generalization.md:43-46
O11	graph identity	language-semantics	resolved local reference,correct variant,role and transform once	literal IDs,defs order and bytes	svg.md:144-146;ADR-0107
O12	candidate phase status	protocol	no current or historical row becomes success before independent oracle/attack gate and seal	contract author's confidence or source inspection as verdict	p1267:57-60;skill artefatos-e-gates.md
