field	value
attempt	P1268 verification attempt 1
verdict	NO-PRESEAL
technical_gates	PASS:96/96 positives;192/192 mask hashes;192/192 determinism;24/24 valid negatives Violated;1/1 positive control Preserved;10/10 opaque Unknown;mutation_score=1.0;zero negative Unknown
blocking_gate	Capability closure failed:role manifest authorized oracle-author writes only under /tmp/p1268/oracle/* but clean restart wrote /tmp/p1268/oracle_clean/*.
verifier_verdict	/tmp/p1268/verifier/verdict.tsv sha256:7be225069a0bc4002aa6b072529d56715d7266580321882866162ad2b4dae94d
verifier_receipt	/tmp/p1268/verifier/receipt.tsv sha256:c3c2ff8834fba0e9451286d86ff4303123d42538a3e21ed846d5efb96bba6fb5
preseal_emitted	false
restart	Publish capabilities V2 with exact oracle_v2/verifier_v2 write roots;reexecute oracle from frozen vanilla-only runner template;repeat verification.
preserved_inputs	Contract V3 and adversary artifacts remain byte-frozen because their capability rows and causal inputs are unchanged.
attestation	Conversational noninheritance recorded;filesystem capability isolation not attested.
