seed	applies_to	validity	stops	offsets	color_alpha	anti_alias	operation	role	transform	box	linear_angle	radial_geometry	oracle_lenses
S01	all-four	valid	2	auto	opaque-primary	true	constructor	fill	identity	square	0deg	centered-default	curve;graph;raster
S02	all-four	valid	3	uniform-explicit	nonsaturated-opaque	true	constructor	stroke	rotate37	wide	37deg	centered-focal-zero	curve;graph;raster
S03	all-four	valid	4	cluster-start	alpha-first	true	constructor	fill	scale-2x-0.5	tall	90deg	offcenter-valid	curve;graph;raster
S04	all-four	valid	8	cluster-end	alpha-last	true	constructor	stroke	skew-x17	square	135deg	near-tangent-inside	curve;graph;raster
S05	all-four	valid	16	uneven	alpha-alternating	true	constructor	fill	reflect-x	wide	-45deg	small-positive-radius	curve;graph;raster
S06	all-four	valid	32	uniform-explicit	gamut-extremes	true	constructor	stroke	translate-13-7	tall	450deg	large-radius-center-outside-box	curve;graph;raster
S07	all-four	valid	2	coincident-start	opaque-primary	true	constructor	fill	identity	square	0.0001deg	centered-default	curve;graph;raster
S08	all-four	valid	3	coincident-middle	alpha-mid	true	constructor	stroke	rotate90	wide	89.9999deg	offcenter-valid	curve;graph;raster
S09	all-four	valid	4	coincident-end	transparent-end	true	constructor	fill	scale-0.5x-2	tall	180deg	focal-radius-nonzero	curve;graph;raster
S10	all-four	valid	8	near-coincident-1e-6	near-transparent	true	constructor	stroke	skew-y-11	square	359.9999deg	near-tangent-inside	curve;graph;raster
S11	all-four	valid	16	auto	near-opaque	true	constructor	fill	rotate-33	wide	-360deg	centered-default	curve;graph;raster
S12	all-four	valid	32	uneven	nonsaturated-alpha	true	constructor	stroke	compose-rotate-scale	tall	720.5deg	offcenter-valid	curve;graph;raster
S13	all-four	valid	2	uniform-explicit	gamut-extremes	false	sharp	fill	identity	square	0deg	centered-default	curve;graph;raster
S14	all-four	valid	3	auto	alpha-mid	false	sharp	stroke	rotate37	wide	37deg	offcenter-valid	curve;graph;raster
S15	all-four	valid	8	cluster-start	alpha-alternating	false	sharp	fill	reflect-y	tall	-90deg	focal-radius-nonzero	curve;graph;raster
S16	all-four	valid	4	uniform-explicit	opaque-primary	true	repeat-no-mirror	stroke	translate-5-9	square	45deg	centered-default	curve;graph;raster
S17	all-four	valid	4	uneven	nonsaturated-alpha	true	repeat-mirror	fill	rotate180	wide	225deg	offcenter-valid	curve;graph;raster
S18	all-four	valid	8	cluster-end	alpha-last	false	sharp-then-repeat	stroke	compose-skew-scale	tall	-540deg	near-tangent-inside	curve;graph;raster
S19	all-four	valid	3	auto	nonsaturated-opaque	true	constructor	fill	scale-1e-4x1	near-zero-width	15deg	small-positive-radius	curve;graph;raster
S20	all-four	valid	4	uniform-explicit	alpha-first	true	constructor	stroke	identity	zero-width	75deg	centered-default	graph;zero-area
S21	all-four	valid	4	uneven	alpha-last	false	sharp	fill	identity	zero-height	-75deg	offcenter-valid	graph;zero-area
S22	all-four	valid	16	near-coincident-1e-6	gamut-extremes	true	constructor	stroke	compose-reflect-rotate	square	359.999999deg	near-tangent-inside	curve;graph;raster
S23	all-four	valid	32	cluster-start	near-transparent	true	repeat-mirror	fill	scale-4x-0.25	wide	-720.5deg	small-positive-radius	curve;graph;raster
S24	all-four	valid	8	cluster-end	nonsaturated-alpha	false	sharp-then-repeat	stroke	compose-translate-skew	tall	1080deg	large-radius-center-outside-box	curve;graph;raster
I01	all-four	invalid-domain	1	none	opaque-primary	n/a	constructor	n/a	n/a	n/a	n/a	n/a	rejection
I02	all-four	invalid-domain	3	mixed-auto-explicit	opaque-primary	n/a	constructor	n/a	n/a	n/a	n/a	n/a	rejection
I03	all-four	invalid-domain	3	decreasing-explicit	opaque-primary	n/a	constructor	n/a	n/a	n/a	n/a	n/a	rejection
I04	all-four	invalid-domain	2	offset-below-zero	opaque-primary	n/a	constructor	n/a	n/a	n/a	n/a	n/a	rejection
I05	all-four	invalid-domain	2	offset-above-one	opaque-primary	n/a	constructor	n/a	n/a	n/a	n/a	n/a	rejection
I06	radial-both	invalid-domain	2	uniform-explicit	opaque-primary	n/a	constructor	n/a	n/a	n/a	n/a	focal-radius-greater-than-radius	rejection
I07	radial-both	invalid-domain	2	uniform-explicit	opaque-primary	n/a	constructor	n/a	n/a	n/a	n/a	focal-circle-tangent	rejection
I08	all-four	invalid-domain	2	uniform-explicit	opaque-primary	n/a	constructor	n/a	n/a	n/a	n/a	invalid-named-argument-type	rejection
