contract_id	observable	population	preserved	violated	unknown	source	classification
G01-POPULATION	fixture identity and pair membership	24 valid seeds x 4 pairs	96 unique frozen valid fixtures;24 per pair	missing;duplicate;candidate-guided fixture	ambiguous identity blocks affected pair	p1266-generalization-matrix.tsv:rows S01-I08	UNCHANGED-CANDIDATE
G02-DOMAIN	public constructor and transform acceptance	valid S01-S24 plus invalid I01-I08	all valid accepted;all applicable invalid rejected	valid rejected or invalid accepted	parser unavailable or diagnostic identity ambiguous	p1267r2-author-contract-v2.tsv:G02;p1266-generalization-matrix.tsv:I01-I08	UNCHANGED-CANDIDATE
G03-GRAPH	variant;resolved URL;raster absence;role;geometry;transform	96 valid fixtures	24/24 per pair;transform applied once	unresolved URL;wrong variant/role;positive-area fallback/raster	unparseable SVG or ambiguous node ownership	p1267r2-author-contract-v2.tsv:G03	UNCHANGED-CANDIDATE
G04A-ORIGINAL-STOPS	G04A effective original/declarative stop sequence entering SVG adaptation:offset;order;coincidence;exact-point structural adjudication;color;alpha	96 valid fixtures	every G04A input stop remains at its semantic offset and in original order with coincident multiplicity,color and alpha preserved;auto,sharp and repeat-derived stops belong to this effective sequence;at an exact coincidence the ratified structural rule is preserved: t=0 selects the last zero-offset stop,while an internal or terminal coincident point selects the first stop at that offset	missing,reordered,deduplicated or shifted G04A stop;changed exact-point selection,discontinuity,color or alpha	provenance or exact-point oracle cannot distinguish G04A stops from exporter-added stops or cannot adjudicate the coincident point	adaptive.md:63-76;svg.md:130-146;ratified gradient.rs:1461-1484	CORRECTED-V3
G04B-ADAPTIVE-STOPS	exporter-added adaptive sequence:interval confinement;monotonic order;epsilon-right/right-hand behavior;curve support;premultiplied encoded-sRGB and alpha envelope	all positive-width eligible intervals in 96 valid fixtures	adaptive stops remain ordered and strictly inside their owning G04A interval;for epsilon immediately to the right of any coincidence at r<1 the right-hand branch begins from the last coincident G04A stop;at r=0 this agrees with the exact-point special case,while an internal exact point remains separately adjudicated by G04A;curve support and color/alpha envelope satisfy G05;no adaptive stop crosses or erases an original discontinuity	exact-point adjudication used as a substitute for epsilon-right behavior;epsilon-right begins from the wrong coincident stop;out-of-interval or reordered adaptive stop;changed right-hand discontinuity;curve or alpha envelope violation	stop provenance,exact-point/right-hand oracle,curve oracle,budget or mesh unavailable;literal f32/f64 carrier,count and textual offset alone never decide	adaptive.md:53-76;ratified gradient.rs:1461-1484;adaptive.rs:115-164;p1267r2-author-contract-v2.tsv:G04B	CORRECTED-V3
G05-CURVE	premultiplied encoded-sRGB color_max;color_p95;alpha_max;alpha_p95	8192 points per positive-domain fixture	all four metrics <= frozen per-fixture V_* limits	any one metric over limit	oracle/budget unavailable or mesh budget exhausted	p1267r2-author-contract-v2.tsv:G05	UNCHANGED-CANDIDATE
G06-RASTER	local masked RGBA morphology for painted support	all fixtures with nonempty painted support,including S20 stroke	frozen vanilla-derived raster envelope over independently derived painted-support mask	mask-adjusted candidate error over envelope	unsupported renderer or painted-support mask derivation ambiguous	p1266-generalization-contract.tsv:7;typst-p1266-svg-generalization.md:43-46	REFINED-CANDIDATE
G07A-S20-STROKE-SUPPORT	painted support of zero-width path stroked at 8pt;closed graph;geometry	S20 x 4 pairs	positive painted region matches vanilla-derived stroke support/morphology;server graph closed;linear/radial geometry correct	forced zero paint;wrong positive region;dangling server;wrong geometry	stroke support or local mask cannot be established independently	typst-p1266-svg-generalization.md:43-46;matrix:S20	CORRECTED-CANDIDATE
G07B-S21-FILL-ZERO-SUPPORT	painted support of zero-height fill without positive-area stroke;closed graph;geometry	S21 x 4 pairs	no positive-area paint;server graph closed;linear/radial geometry correct	any positive-area paint;dangling server;wrong geometry	zero fill support or graph ownership cannot be established independently	typst-p1266-svg-generalization.md:43-46;matrix:S21	CORRECTED-CANDIDATE
G08-ANTIALIAS	constructor true;sharp false;repeat preserves input	S13-S18;S21;S24 x 4 pairs	boundary morphology and public state match vanilla	state lost;double-applied;repeat resets state	anti_alias carrier unavailable	p1267r2-author-contract-v2.tsv:G08	UNCHANGED-CANDIDATE
G09-GEOMETRY	linear angle;radial center/radius/focal;box transform	96 valid fixtures	language-equivalent geometry under frozen landmarks	angle/focal/radius/transform divergence	landmark or local coordinate base ambiguous	p1267r2-author-contract-v2.tsv:G09	UNCHANGED-CANDIDATE
G10-BOUNDED-ADAPTATION	per-G04A-interval subdivisions,adaptive interiors,midpoint decisions,boundary sampler calls,total sampler calls,total emitted stops and deterministic termination	96 valid fixtures	define M as the cardinality of the G04A effective_public_stops input sequence entering adaptation;define R as the count of its consecutive intervals that are both positive-width and eligible for adaptation,so anti_alias=false or coincident/ineligible intervals do not enter R;for every eligible interval subdivisions<=64,adaptive interiors a_i<=63,midpoint_decisions d_i<=127,boundary_sampler_calls b_i<=126,total_sampler_calls q_i=d_i+b_i<=253;E=M+sum(a_i)<=M+63R<=64M-63 for each fixture with M>=2;all counts are published and traversal terminates deterministically	any interval exceeds 64 subdivisions,63 interiors,127 midpoint decisions,126 boundary sampler calls or253 total sampler calls;E exceeds M+63R;logical_stops substituted for M;R includes a zero-width or ineligible interval or omits an eligible one;cross-interval insertion;nontermination;missing required counts	instrumentation cannot attribute work to each G04A interval or cannot publish M,R,a_i,d_i,b_i,q_i and E reproducibly	ratified gradient.rs:905-965;adaptive.rs:84-164;adaptive.md:53-76;p1266-cost.tsv:1-97	CORRECTED-V3
G10H-P1266-HISTORICAL-ACCOUNTING	immutable P1266 logical/effective/emitted accounting under the corrected derived bound	96 frozen P1266 cost rows	register logical_stops=904 separately from M=sum(effective_public_stops)=1320;E=sum(emitted_stops)=11188;sum of per-fixture conservative bounds sum(64*M_f-63)=78432;derived_bound_failures=0;these are historical measurements only and never constitute Preserved or current success	logical=904 relabelled as M;bound=51808 retained as effective bound;any frozen P1266 row or certificate rewritten;zero derived failures promoted to success	input hash or column identity ambiguous;interval-local R/a_i/d_i/b_i/q_i traces absent,so historical rows remain insufficient for a v3 pass	p1266-cost.tsv:1-97 sha256:dc10bff135b228b521376b39e4266c1656f6b650a72576253404a85ca74c93ad;p1267r2-verifier-verdict.tsv:V08-V09	CORRECTED-V3-IMMUTABLE-HISTORY
G11-CONTROLS	sRGB;P1234;P1236;P1264	frozen control corpora	zero regression in every predecessor gate	any reopened control	changed protected input invalidates future seal	p1267r2-author-contract-v2.tsv:G11	UNCHANGED-CANDIDATE
G12-PAIR-GATE	conjunction G01-G11 including G04A/G04B,G07A/G07B,G10H and all applicable P1268 attacks	four independent pairs	24/24 satisfy every applicable language observable;valid positives Preserved;all executable valid negative mutants Violated/rejected with witness;mutation_score=1.0;zero necessary Unknown;direct,inverse and repeat semantically identical;budgets derived vanilla-first and never from candidate;manifest,baseline,corpus,contract,oracles and attacks hashed;role capabilities recorded without filesystem-isolation claim	any failed applicable obligation,surviving valid mutant,score below 1.0,necessary Unknown,order/repeat divergence,candidate-derived budget,protected hash drift or unrecorded role capability	Unknown-generalization for affected pair only;explicit opacity may expect Unknown but never counts as success or mutation rejection	p1268-intent-manifest.tsv;typst-passo-1268.md:Gates;skill artefatos-e-gates.md	CORRECTED-V3
G13-DETERMINISM	direct;inverse;repeat semantic outputs	complete corpus and attack suite	canonical semantic equality	any order-dependent semantic result	non-reproducible environment invalidates run	p1267r2-author-contract-v2.tsv:G13	UNCHANGED-CANDIDATE
G14-PROMOTION-BOUNDARY	classification versus product default	four pair verdicts	at most Generalization-Preserved after a future valid P1268 seal;fallback and product remain unchanged in this contract phase	productive promotion,general equivalence claim,seal emitted by contract author or conversion of historical failure/derived-bound consistency to success	all four pairs remain Unknown-generalization until independent oracles,attacks,discriminatory gate and verifier seal complete	p1267r2-verifier-verdict.tsv:V14,V17-V18;P1266 final certificate;typst-passo-1268.md	CORRECTED-V3
